station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,month,norm.precip,norm.tavg,norm.tavg.sd,norm.tmax,norm.tmax.sd,norm.tmin,norm.tmin.sd
USW00023907,Williamson_2019_09,30.6222,-98.0847,414.8,6/19/20,i,2020,1,1.97,50.1,3.2,60.4,4.1,39.9,2.7
USW00023907,Williamson_2019_09,30.6222,-98.0847,414.8,6/19/20,i,2020,2,1.36,53.3,4.3,63.9,5.1,42.8,3.8
USW00023907,Williamson_2019_09,30.6222,-98.0847,414.8,6/19/20,i,2020,3,2.85,61.7,3,72.1,2.7,51.3,3.7
USW00023907,Williamson_2019_09,30.6222,-98.0847,414.8,6/19/20,i,2020,4,2.82,67.6,2.8,78.2,3,57,2.9
USW00023907,Williamson_2019_09,30.6222,-98.0847,414.8,6/19/20,i,2020,5,4.62,74.1,1.8,84,2.6,64.3,1.5
USW00023907,Williamson_2019_09,30.6222,-98.0847,414.8,6/19/20,i,2020,6,1.85,81.2,1.6,91.4,2.5,71,1
USW00023907,Williamson_2019_09,30.6222,-98.0847,414.8,6/19/20,i,2020,7,1.91,83.5,2,94.3,3.2,72.7,1.1
USW00023907,Williamson_2019_09,30.6222,-98.0847,414.8,6/19/20,i,2020,8,2.34,84.6,1.9,95.9,2.6,73.3,1.2
USW00023907,Williamson_2019_09,30.6222,-98.0847,414.8,6/19/20,i,2020,9,3.55,78.3,2.5,88.2,3.4,68.5,1.9
USW00023907,Williamson_2019_09,30.6222,-98.0847,414.8,6/19/20,i,2020,10,3.47,69.4,2.2,79.6,2.6,59.2,2.1
USW00023907,Williamson_2019_09,30.6222,-98.0847,414.8,6/19/20,i,2020,11,2.16,59.5,3.1,69.1,3.2,49.8,3.3
USW00023907,Williamson_2019_09,30.6222,-98.0847,414.8,6/19/20,i,2020,12,1.74,51.5,2.6,61.1,3.1,41.9,2.6