station.id,site,latitude,longitude,elevation.m,sampling.year,month,norm.precip,norm.tavg,norm.tmax,norm.tmin
USC00412676,Austin_2020_03,29.6211,-96.3661,53.6,2021,1,3.45,51.4,62.8,40
USC00412676,Austin_2020_03,29.6211,-96.3661,53.6,2021,2,1.95,55.6,66.9,44.2
USC00412676,Austin_2020_03,29.6211,-96.3661,53.6,2021,3,3.19,62.7,74.1,51.2
USC00412676,Austin_2020_03,29.6211,-96.3661,53.6,2021,4,3.95,69.2,79.7,58.7
USC00412676,Austin_2020_03,29.6211,-96.3661,53.6,2021,5,5.47,76.2,86.1,66.3
USC00412676,Austin_2020_03,29.6211,-96.3661,53.6,2021,6,3.81,82.3,92.3,72.2
USC00412676,Austin_2020_03,29.6211,-96.3661,53.6,2021,7,5.16,84.4,94.6,74.1
USC00412676,Austin_2020_03,29.6211,-96.3661,53.6,2021,8,4.34,85.3,96.6,74
USC00412676,Austin_2020_03,29.6211,-96.3661,53.6,2021,9,4.27,80.1,90.6,69.7
USC00412676,Austin_2020_03,29.6211,-96.3661,53.6,2021,10,4.08,71.4,83.7,59
USC00412676,Austin_2020_03,29.6211,-96.3661,53.6,2021,11,2.85,61.8,73.4,50.1
USC00412676,Austin_2020_03,29.6211,-96.3661,53.6,2021,12,3.33,54,65,42.9