id,total.leaf.area,dry.wgt,n.leaf,c.leaf,sla,n.area,cn.leaf
2020eco_Bell_i_01,16.01,0.0474,2.3,42.95,337.8,776.94,18.67
2020eco_Bell_i_02,6.26,0.0399,2.44,41.72,157,383.08,17.1
2020eco_Bell_i_03,4.34,0.0458,1.74,42.76,94.81,164.97,24.57
2020eco_Bell_i_04,4.05,0.0286,2.28,42.52,141.46,322.53,18.65
2020eco_Bell_i_05,5.07,0.0804,3.41,45.33,63.09,215.14,13.29
2020eco_Bell_i_06,3.3,0.0452,3.42,45.27,73,249.66,13.24
2020eco_Bell_i_07,2.75,0.0316,3.08,45.27,87.06,268.14,14.7
2020eco_Bell_i_08,34.02,NA,NA,NA,NA,NA,NA
2020eco_Bell_i_09,19.24,NA,NA,NA,NA,NA,NA
2020eco_Bexar_i_01,3.08,0.0629,2.34,43.16,49.01,114.68,18.44
2020eco_Bexar_i_02,2.33,0.0459,2.62,44.68,50.71,132.86,17.05
2020eco_Bexar_i_03,1.92,0.0468,3.69,79.7,40.93,151.03,21.6
2020eco_Bexar_i_04,2.32,0.0231,1.79,47.35,100.53,179.95,26.45
2020eco_Bexar_i_05,1.25,0.0146,2.19,43.3,85.67,187.62,19.77
2020eco_Bexar_i_06,2.43,0.0189,2.38,45.79,128.35,305.47,19.24
2020eco_Bexar_i_07,9.85,0.0569,1.95,39.16,173.03,337.41,20.08
2020eco_Bexar_i_08,33.21,0.2073,1.93,41.42,160.21,309.21,21.46
2020eco_Bexar_i_09,40.1,0.2824,1.78,41.59,142.01,252.78,23.37
2020eco_Bexar_i_10,5.22,0.0632,2.79,44.92,82.58,230.4,16.1
2020eco_Bexar_i_11,2.25,0.028,2.93,44.47,80.47,235.78,15.18
2020eco_Bexar_i_12,3.58,0.0258,3.97,45.05,138.59,550.2,11.35
2020eco_Bexar_i_13,1.24,0.0195,1.58,37.56,63.56,100.42,23.77
2020eco_Bexar_i_14,1.48,0.0274,1.54,36.54,53.87,82.96,23.73
2020eco_Bexar_i_15,1.44,0.0377,1.66,38.01,38.25,63.49,22.9
2020eco_Blanco_i_01,2.42,0.0335,1.98,37.13,72.37,143.29,18.75
2020eco_Blanco_i_02,1.83,0.0251,1.47,34.76,72.87,107.12,23.65
2020eco_Blanco_i_03,2.21,0.0338,1.72,35.16,65.39,112.47,20.44
2020eco_Blanco_i_04,4.18,0.0488,1.47,42.15,85.67,125.93,28.67
2020eco_Blanco_i_05,5.08,0.0796,0.95,44.08,63.84,60.65,46.4
2020eco_Blanco_i_06,5.31,0.0811,1.36,43.43,65.46,89.03,31.93
2020eco_Blanco_i_07,5.87,0.0133,1.23,38.97,441.07,542.52,31.68
2020eco_Blanco_i_08,1.04,0.014,1.32,36.79,74.24,98,27.87
2020eco_Blanco_i_09,1.02,0.0169,0.89,36.47,60.19,53.57,40.98
2020eco_Blanco_i_10,10.07,0.0375,1.1,42.19,268.62,295.48,38.35
2020eco_Blanco_i_11,3.72,0.0283,1.55,43.41,131.5,203.83,28.01
2020eco_Blanco_i_12,2.57,0.019,1.51,42.63,135.12,204.03,28.23
2020eco_Blanco_i_13,4.25,0.0309,1.27,42.8,137.67,174.84,33.7
2020eco_Blanco_i_14,2.43,0.0204,1.2,43.07,119.02,142.82,35.89
2020eco_Blanco_i_15,3.1,0.0291,1.09,42.57,106.57,116.16,39.06
2020eco_Brazos18_i_01,4.42,0.0489,1.19,42.09,90.36,107.53,35.37
2020eco_Brazos18_i_02,3.59,0.033,1.61,39.36,108.81,175.18,24.45
2020eco_Brazos18_i_03,3.62,0.0339,1.53,39.45,106.65,163.17,25.78
2020eco_Brazos18_i_04,7.28,0.1217,3.46,43.43,59.85,207.08,12.55
2020eco_Brazos18_i_05,4.85,0.0855,2.86,41.77,56.7,162.16,14.6
2020eco_Brazos18_i_06,9.27,0.1526,3.67,43.81,60.73,222.88,11.94
2020eco_Brazos18_i_07,4.18,0.0405,1.26,40.72,103.24,130.08,32.32
2020eco_Brazos18_i_08,2.89,0.0232,1.44,39.73,124.4,179.14,27.59
2020eco_Brazos18_i_09,5.43,0.0499,1.44,41.79,108.83,156.72,29.02
2020eco_Brazos18_i_10,10.24,0.148,1.14,46.61,69.21,78.9,40.89
2020eco_Brazos18_i_11,5.27,0.0686,1.27,48.67,76.76,97.49,38.32
2020eco_Brazos18_i_12,7.81,0.0973,1.29,48.18,80.24,103.51,37.35
2020eco_Brazos18_i_13,2.19,0.0232,1.47,45.71,94.32,138.65,31.1
2020eco_Brazos18_i_14,2.39,0.023,1.48,45.93,104.06,154.01,31.03
2020eco_Brazos18_i_15,1.76,0.0184,1.5,45.44,95.64,143.46,30.29
2020eco_Comal_i_01,6.93,0.0774,1.1,43.02,89.52,98.47,39.11
2020eco_Comal_i_02,7.92,0.057,1.14,43.55,138.88,158.32,38.2
2020eco_Comal_i_03,3.54,0.0336,0.9,41.59,105.4,94.86,46.21
2020eco_Comal_i_04,4.42,0.1256,0.94,46.7,35.21,33.1,49.68
2020eco_Comal_i_05,6.63,0.1649,1.03,45.97,40.19,41.4,44.63
2020eco_Comal_i_06,5.61,0.1555,0.68,46.13,36.05,24.51,67.84
2020eco_Comal_i_07,6.32,0.0205,1.35,42.64,308.33,416.25,31.59
2020eco_Comal_i_08,1.69,0.0188,1.2,41.3,89.99,107.99,34.42
2020eco_Comal_i_09,1.59,0.014,0.98,39.96,113.86,111.58,40.78
2020eco_Comal_i_10,2.92,0.1376,0.96,46.81,21.19,20.34,48.76
2020eco_Comal_i_11,3.52,0.1896,0.86,47.17,18.57,15.97,54.85
2020eco_Comal_i_12,8.25,0.2844,0.93,45.56,29.02,26.99,48.99
2020eco_Comal_i_13,1.58,0.0232,1.88,38.32,67.94,127.73,20.38
2020eco_Comal_i_14,2.14,0.0378,1.38,35.86,56.7,78.25,25.99
2020eco_Comal_i_15,1.89,0.0313,1.44,39.26,60.25,86.76,27.26
2020eco_Edwards_i_01,2.72,0.0438,1.34,45.29,62.06,83.16,33.8
2020eco_Edwards_i_02,3.46,0.0914,0.6,45.61,37.88,22.73,76.02
2020eco_Edwards_i_03,0.25,0.0692,0.77,44.96,3.63,2.8,58.39
2020eco_Edwards_i_04,6.66,0.1134,1.58,46.69,58.7,92.75,29.55
2020eco_Edwards_i_05,6.4,0.1306,1.47,45.8,49,72.03,31.16
2020eco_Edwards_i_06,7.13,0.0776,1.35,45.39,91.93,124.11,33.62
2020eco_Edwards_i_07,3.3,0.0755,1.04,40.64,43.68,45.43,39.08
2020eco_Edwards_i_08,4.32,0.0832,1.17,43.57,51.87,60.69,37.24
2020eco_Edwards_i_09,1.8,0.0258,1.28,45.26,69.59,89.08,35.36
2020eco_Edwards_i_10,8.72,0.1058,1.02,42.22,82.39,84.04,41.39
2020eco_Edwards_i_11,4.91,0.0613,1.37,43.03,80.14,109.79,31.41
2020eco_Edwards_i_12,2.14,0.0298,1.18,45.43,71.97,84.92,38.5
2020eco_Fayette_i_01,16.74,0.1501,1.56,44.54,111.51,173.96,28.55
2020eco_Fayette_i_02,8.93,0.0784,1.26,45.02,113.88,143.49,35.73
2020eco_Fayette_i_03,10.16,0.0736,1.37,43.4,137.98,189.03,31.68
2020eco_Fayette_i_04,2.38,0.0313,4.41,47.6,76.08,335.51,10.79
2020eco_Fayette_i_06,4.73,0.0302,5.06,44.77,156.7,792.9,8.85
2020eco_Fayette_i_07,11.63,0.1983,1.19,46.98,58.65,69.79,39.48
2020eco_Fayette_i_08,35.38,0.4823,1.57,47.06,73.35,115.16,29.97
2020eco_Fayette_i_09,0,0.5738,1.34,46.93,0,0,35.02
2020eco_Fayette_i_10,50.73,0.5877,1.82,46.06,86.32,157.1,25.31
2020eco_Fayette_i_11,50.42,0.7103,1.84,46.21,70.98,130.6,25.11
2020eco_Fayette_i_12,52.05,0.656,1.84,45.41,79.34,145.99,24.68
2020eco_Fayette_i_13,7.72,0.0849,1.28,48.16,90.91,116.36,37.62
2020eco_Fayette_i_14,10.33,0.134,1.34,48.64,77.09,103.3,36.3
2020eco_Fayette_i_15,14.83,0.1752,1.37,48.52,84.67,116,35.42
2020eco_Harris_i_01,3.99,0.055,4.27,44.99,72.5,309.57,10.54
2020eco_Harris_i_02,1.9,0.0311,4.66,45.76,60.97,284.12,9.82
2020eco_Harris_i_03,2.09,0.032,3.27,47.56,65.28,213.47,14.54
2020eco_Harris_i_04,29.64,0.2125,1.46,43.26,139.49,203.66,29.63
2020eco_Harris_i_05,16.41,0.1108,2.01,44.1,148.06,297.6,21.94
2020eco_Harris_i_06,43.31,0.3672,1.14,42.41,117.95,134.46,37.2
2020eco_Harris_i_07,2.02,0.0268,2.1,39.3,75.41,158.36,18.71
2020eco_Harris_i_08,2.26,0.0315,2.21,36.09,71.61,158.26,16.33
2020eco_Harris_i_09,4,0.057,2.04,37.61,70.22,143.25,18.44
2020eco_Harris_i_10,14.97,0.2129,2.22,40.26,70.3,156.07,18.14
2020eco_Harris_i_11,23.2,0.3936,1.92,37.55,58.93,113.15,19.56
2020eco_Harris_i_12,16.97,0.2755,2.36,41.5,61.6,145.38,17.58
2020eco_Harris_i_13,3.28,0.0296,0.91,40.81,110.78,100.81,44.85
2020eco_Harris_i_14,6.24,0.0497,1.14,42.69,125.45,143.01,37.45
2020eco_Harris_i_15,2.73,0.0212,1.32,39.06,129.01,170.29,29.59
2020eco_Menard_i_01,2.52,0.0412,2.44,39.72,61.15,149.21,16.28
2020eco_Menard_i_02,4.35,0.0607,2.78,40.73,71.62,199.1,14.65
2020eco_Menard_i_03,2.22,0.0272,2.52,39.03,81.44,205.23,15.49
2020eco_Menard_i_04,3.5,0.0554,2.31,46.91,63.25,146.11,20.31
2020eco_Menard_i_05,1.98,0.0302,2.68,45.75,65.55,175.67,17.07
2020eco_Menard_i_06,4.31,0.071,2.84,46.99,60.64,172.22,16.55
2020eco_Menard_i_07,8.64,0.0653,1.83,34.05,132.3,242.11,18.61
2020eco_Menard_i_08,5.52,0.0402,2.15,34.16,137.41,295.43,15.89
2020eco_Menard_i_09,14.87,0.1594,1.91,32.13,93.27,178.15,16.82
2020eco_Menard_i_10,4.45,0.0521,1.47,44.46,85.38,125.51,30.24
2020eco_Menard_i_11,12.63,0.2546,1.57,41.03,49.62,77.9,26.13
2020eco_Menard_i_12,6.75,0.1199,1.43,41.24,56.29,80.49,28.84
2020eco_Menard_i_13,6.44,0.1677,1.3,47.26,38.41,49.93,36.35
2020eco_Menard_i_15,3.04,0.0735,1.35,47.06,41.33,55.8,34.86
2020eco_Russel_i_01,13.3,0.0913,1.44,35.99,145.68,209.78,24.99
2020eco_Russel_i_02,7.26,0.0471,1.86,40.76,154.15,286.72,21.91
2020eco_Russel_i_03,5,0.0323,1.82,41.79,154.92,281.95,22.96
2020eco_Russel_i_04,1.47,0.0187,1.82,42.24,78.67,143.18,23.21
2020eco_Russel_i_05,2.17,0.0189,1.71,42.47,114.65,196.05,24.84
2020eco_Russel_i_06,2.93,0.031,1.66,43.06,94.47,156.82,25.94
2020eco_Russel_i_07,8.44,0.071,1.07,39.88,118.9,127.22,37.27
2020eco_Russel_i_08,5.02,0.0445,1.6,39.51,112.83,180.53,24.69
2020eco_Russel_i_09,0,0.0949,1.22,38.95,0.02,0.02,31.93
2020eco_Russel_i_10,2.76,0.0277,0.96,43.51,99.8,95.81,45.32
2020eco_Russel_i_11,2.33,0.0198,1.19,43.4,117.64,139.99,36.47
2020eco_Russel_i_12,4.36,0.0386,1.05,44.26,112.85,118.49,42.15
2020eco_Russel_i_13,4.27,0.036,1.33,49.13,118.64,157.79,36.94
2020eco_Russel_i_14,8.97,0.1117,1.68,48.47,80.29,134.89,28.85
2020eco_Russel_i_15,9.71,0.1379,1.56,46.97,70.41,109.84,30.11
2020eco_Sansaba_i_01,6.06,0.0697,2.6,46.59,86.96,226.1,17.92
2020eco_Sansaba_i_02,3.24,0.0403,2.63,45.01,80.36,211.35,17.11
2020eco_Sansaba_i_03,1.26,0.0227,1.73,42.68,55.43,95.89,24.67
2020eco_Sansaba_i_04,1.62,0.0286,1.59,42.17,56.6,89.99,26.52
2020eco_Sansaba_i_05,1.83,0.0316,1.17,34.93,57.92,67.77,29.85
2020eco_Sansaba_i_06,7.46,0.1023,1.43,39.89,72.93,104.29,27.9
2020eco_Sansaba_i_07,9.93,0.128,1.59,40.54,77.56,123.32,25.5
2020eco_Sansaba_i_08,9.03,0.1197,1.49,39.64,75.44,112.41,26.6
2020eco_Sansaba_i_09,5.39,0.1218,1.08,42.9,44.24,47.78,39.72
2020eco_Sansaba_i_10,0.69,0.0126,1.86,41.14,55.06,102.41,22.12
2020eco_Sansaba_i_11,0.82,0.0237,1.87,42.78,34.47,64.46,22.88
2020eco_Sansaba_i_12,2.05,0.0193,0.96,42.65,106.19,101.94,44.43
2020eco_Sansaba_i_13,2.43,0.0901,1.27,43.79,26.97,34.25,34.48
2020eco_Sansaba_i_14,3.6,0.0683,1.18,44.68,52.72,62.21,37.86
2020eco_Sansaba_i_15,2.14,0.0402,1.97,44.38,53.25,104.9,22.53
2020eco_Uvalde_i_01,1.39,0.0459,0.65,42.48,30.3,19.7,65.35
2020eco_Uvalde_i_02,5,0.0675,0.6,43.27,74.13,44.48,72.12
2020eco_Uvalde_i_03,2.43,0.0622,0.4,42.63,39.08,15.63,106.58
2020eco_Uvalde_i_04,11.97,0.2427,1.77,34.91,49.31,87.28,19.72
2020eco_Uvalde_i_05,8.5,0.1406,1.73,30.99,60.49,104.65,17.91
2020eco_Uvalde_i_06,4.77,NA,1.86,41.47,NA,NA,22.3
2020eco_Uvalde_i_07,4.02,0.0865,0.63,43.55,46.46,29.27,69.13
2020eco_Uvalde_i_08,5.26,0.0588,0.91,42.59,89.53,81.47,46.8
2020eco_Uvalde_i_09,2.69,0.0363,0.53,42.22,74.1,39.27,79.66
2020eco_Uvalde_i_10,2.21,0.0298,1.63,37.32,74.24,121.01,22.9
2020eco_Uvalde_i_11,1.95,0.0201,1.78,37.99,96.77,172.25,21.34
2020eco_Uvalde_i_12,1.91,0.0269,1.78,41.7,71.01,126.4,23.43
2020eco_Uvalde_i_13,4.72,0.0604,0.85,41.48,78.1,66.38,48.8
2020eco_Uvalde_i_14,11.61,0.1133,1.41,41.59,102.45,144.45,29.5
2020eco_Uvalde_i_15,12.47,0.1099,1.6,41.29,113.49,181.58,25.81
2020eco_Williamson09_i_01,2.93,0.048,1.45,39.55,60.99,88.44,27.28
2020eco_Williamson09_i_02,3.29,0.0624,1.25,40.31,52.71,65.89,32.25
2020eco_Williamson09_i_03,1.17,0.0324,1.31,39.51,36.04,47.21,30.16
2020eco_Williamson09_i_04,1.64,0.019,1.52,42.93,86.22,131.05,28.24
2020eco_Williamson09_i_05,1.57,0.0143,1.4,42.02,109.74,153.64,30.01
2020eco_Williamson09_i_06,2.41,0.0228,1.6,43.46,105.71,169.14,27.16
2020eco_Williamson09_i_07,2.66,0.0244,1.02,43.68,108.81,110.99,42.82
2020eco_Williamson09_i_08,3.37,0.0314,0.89,41.68,107.24,95.44,46.83
2020eco_Williamson09_i_09,1.62,0.0146,0.84,42.07,111.24,93.44,50.08
2020eco_Williamson09_i_10,1.66,0.0372,1.08,35.11,44.56,48.12,32.51
2020eco_Williamson09_i_11,1.6,0.0306,0.95,38.88,52.32,49.7,40.93
2020eco_Williamson09_i_12,0.8,0.0212,1.02,36.95,37.6,38.35,36.23
2020eco_Williamson09_i_13,9.56,0.1306,0.9,35.35,73.18,65.86,39.28
2020eco_Williamson09_i_14,10.53,0.1328,0.85,37.65,79.32,67.42,44.29
2020eco_Williamson09_i_15,4.77,0.0573,0.84,42.71,83.25,69.93,50.85
2020eco_Williamson10_i_01,0.77,0.0139,1.03,41.45,55.48,57.14,40.24
2020eco_Williamson10_i_02,0.99,0.0243,1.75,38.26,40.71,71.24,21.86
2020eco_Williamson10_i_03,1.48,0.0336,1.8,38.59,43.96,79.13,21.44
2020eco_Williamson10_i_04,4.22,0.0642,1.38,49.97,65.76,90.75,36.21
2020eco_Williamson10_i_05,5.38,0.067,1.24,49.51,80.33,99.61,39.93
2020eco_Williamson10_i_06,4.29,0.0598,1.51,49.64,71.72,108.3,32.87
2020eco_Williamson10_i_07,4.08,0.0492,1.16,40.46,82.89,96.15,34.88
2020eco_Williamson10_i_08,4.63,0.0475,1.26,41.14,97.48,122.82,32.65
2020eco_Williamson10_i_09,3.09,0.0302,1.33,38.05,102.43,136.23,28.61
2020eco_Williamson10_i_10,3.71,0.0352,1.01,42.64,105.27,106.32,42.22
2020eco_Williamson10_i_11,2.34,0.0247,0.94,41.63,94.78,89.09,44.29
2020eco_Williamson10_i_12,4.49,0.0395,0.83,40.86,113.61,94.3,49.23
2020eco_Williamson10_i_13,5.05,0.067,2.59,42.78,75.34,195.13,16.52
2020eco_Williamson10_i_14,4.4,0.0601,2.63,45.24,73.15,192.38,17.2
2020eco_Williamson10_i_15,3.61,0.0481,2.78,45.31,75.14,208.89,16.3
2020eco_Bexar_p_1a,1.1,0.0212,2.13,44.22,51.94,110.63,20.76
2020eco_Bexar_p_1b,2.08,0.023,3.48,38.16,90.51,314.97,10.97
2020eco_Bexar_p_1c,1.36,0.0098,2.39,47.35,138.55,331.13,19.81
2020eco_Bexar_p_1d,2.4,0.047,1.98,44.44,51.08,101.14,22.44
2020eco_Bexar_p_2a,0.88,0.012,2.18,44.37,73.54,160.32,20.35
2020eco_Bexar_p_2b,2.19,0.0164,2.8,44.19,133.37,373.44,15.78
2020eco_Bexar_p_2c,3.79,0.0408,1.44,46.94,92.89,133.76,32.6
2020eco_Bexar_p_2d,2.47,0.0313,1.83,43.3,79.07,144.7,23.66
2020eco_Bexar_p_3a,3.18,0.0573,1.98,45.08,55.55,109.99,22.77
2020eco_Bexar_p_4a,3.83,0.0398,1.48,48.04,96.34,142.58,32.46
2020eco_Bexar_p_4b,3.48,0.04,2.28,44.33,86.9,198.13,19.44
2020eco_Bexar_p_4c,3.57,0.0483,1.61,44.91,73.89,118.96,27.89
2020eco_Bexar_p_mes,9.37,0.1233,3.04,48.41,75.98,230.98,15.92
2020eco_Harris_p_mes,10.33,0.1001,3.66,46.23,103.18,377.64,12.63
2020eco_Harris_p_1a,0.39,0.0088,1.63,48.62,44.48,72.5,29.83
2020eco_Harris_p_1b,2.3,0.0318,1.78,37.94,72.17,128.46,21.31
2020eco_Harris_p_1c,3.44,0.0309,1.57,46.5,111.42,174.93,29.62
2020eco_Harris_p_2a,0.48,0.0126,1.83,43.88,37.94,69.43,23.98
2020eco_Harris_p_2b,1.36,0.016,2.01,40.47,85.22,171.29,20.13
2020eco_Harris_p_2c,2.2,0.0265,0.98,43.8,83.19,81.53,44.69
2020eco_Harris_p_3a,5.63,0.0638,0.52,43,88.21,45.87,82.69
2020eco_Harris_p_3b,2.75,0.0354,1.19,47.25,77.75,92.52,39.71
2020eco_Harris_p_3c,2.32,0.014,1.76,46.59,165.47,291.23,26.47
2020eco_Harris_p_4a,2.13,0.0305,1.27,44.2,69.95,88.84,34.8
2020eco_Harris_p_5a,1.32,0.018,1.32,43.51,73.37,96.85,32.96
2020eco_Harris_p_5b,2.79,0.0238,1.92,38.77,117.24,225.1,20.19
2020eco_Menard_p_1a,6.68,0.0789,1.96,35.98,84.64,165.89,18.36
2020eco_Menard_p_1b,5.59,0.0768,3.55,45.13,72.83,258.55,12.71
2020eco_Menard_p_1c,5.23,0.0972,1.63,43.42,53.8,87.69,26.64
2020eco_Menard_p_1d,3.86,0.0337,2.74,36.21,114.62,314.06,13.22
2020eco_Menard_p_1e,5.37,0.0457,2.05,43.05,117.54,240.96,21
2020eco_Menard_p_2a,3.39,0.022,5.02,37.74,154.03,773.23,7.52
2020eco_Menard_p_2b,5.43,0.1081,1.29,46.16,50.22,64.78,35.78
2020eco_Menard_p_2c,2.3,0.0357,2.79,46.11,64.4,179.68,16.53
2020eco_Menard_p_2d,5.4,0.0814,2.45,41.81,66.3,162.44,17.07
2020eco_Menard_p_2e,9.82,0.1333,2.35,43.79,73.67,173.12,18.63
2020eco_Menard_p_2f,2.1,0.0257,2.23,42.25,81.79,182.39,18.95
2020eco_Menard_p_3a,2.41,0.0399,1.63,44.85,60.31,98.31,27.52
2020eco_Menard_p_3b,3.82,0.0571,1.13,40.54,66.89,75.59,35.88
2020eco_Menard_p_3c,4.97,0.0368,3.14,46.75,135.03,423.99,14.89
2020eco_Menard_p_3d,8.53,0.1132,1.61,37.93,75.36,121.33,23.56
2020eco_Menard_p_4a,2.2,0.04,2.67,42.9,54.92,146.64,16.07
2020eco_Menard_p_4b,5.64,0.09,1.52,33.68,62.65,95.23,22.16
2020eco_Menard_p_4c,2.27,0.0249,1.72,43.7,91.32,157.07,25.41
2020eco_Menard_p_5a,3.1,0.0284,1.21,40.85,109.14,132.06,33.76
2020eco_Menard_p_5b,6.58,0.0958,1.55,35.91,68.67,106.44,23.17
2020eco_Uvalde_p_1a,5.27,0.075,1.01,43.43,70.22,70.92,43
2020eco_Uvalde_p_1b,3.51,0.0507,1.56,46.35,69.17,107.91,29.71
2020eco_Uvalde_p_1c,5.14,0.079,1.83,44.52,65.03,119,24.33
2020eco_Uvalde_p_2a,2.81,NA,1.77,31.71,NA,NA,17.92
2020eco_Uvalde_p_2b,5.43,0.0714,1.07,43.89,76.02,81.34,41.02
2020eco_Uvalde_p_3a,2.07,0.0252,1.21,44.13,82.21,99.47,36.47
2020eco_Uvalde_p_3b,1.47,0.0204,1.44,42.01,71.99,103.67,29.17
2020eco_Uvalde_p_4a,3.21,0.0248,1.01,42.03,129.3,130.59,41.61
2020eco_Uvalde_p_4b,3.87,0.042,1.45,45.13,92.26,133.78,31.12
2020eco_Uvalde_p_4c,2.81,0.0317,2.06,42.78,88.52,182.35,20.77
2020eco_Uvalde_p_4d,0.76,0.0052,1.87,42.76,146.53,274.01,22.87
2020eco_Uvalde_p_4e,2.14,0.0182,2.48,45.01,117.61,291.67,18.15
2020eco_Uvalde_p_5a,2.93,0.0268,1.11,43.61,109.41,121.45,39.29
2020eco_Uvalde_p_5b,6.94,0.1006,1.14,33.14,69.03,78.69,29.07
