id,total.leaf.area,dry.wgt,n.leaf,c.leaf,sla,n.area,cn.leaf
2020eco_Uvalde_p_5c,4.22,0.057,2.17,46.25,73.97,160.51,21.31
2020eco_Williamson10_p_1a,1.06,0.0148,1,49.03,71.33,71.33,49.03
2020eco_Williamson10_p_1b,2.21,0.0194,1.18,42.83,113.88,134.38,36.3
2020eco_Williamson10_p_1c,2.42,0.04,0.48,37.86,60.47,29.03,78.88
2020eco_Williamson10_p_2a,2.02,0.0171,0.96,42.82,118.07,113.35,44.6
2020eco_Williamson10_p_2b,8.25,0.1301,2.15,46.88,63.42,136.35,21.8
2020eco_Williamson10_p_3a,1.74,0.0274,2.26,45.72,63.6,143.74,20.23
2020eco_Williamson10_p_3b,0.75,0.0184,0.96,34.99,40.91,39.27,36.45
2020eco_Williamson10_p_3c,0,0.0158,0.91,41.2,0.01,0.01,45.27
2020eco_Williamson10_p_3d,2.57,0.0274,0.93,42.53,93.85,87.28,45.73
2020eco_Williamson10_p_4a,1.77,0.0157,0.99,40.48,113,111.87,40.89
2020eco_Williamson10_p_5a,1.33,0.0136,1.3,45.65,97.76,127.09,35.12
2020eco_Williamson10_p_5b,1.96,0.0146,2.79,45.88,134.21,374.45,16.44
2020eco_Williamson10_p_5c,2.31,0.0196,0.92,40.85,118.09,108.64,44.4
2020eco_Williamson10_p_mes,12.36,0.202,2.17,46.5,61.18,132.76,21.43
2021eco_Austin_i_01,14.006,0.1297,,,107.9876638,,
2021eco_Austin_i_02,15.897,0.1405,,,113.1459075,,
2021eco_Austin_i_03,15.897,0.1623,,,97.94824399,,
2021eco_Austin_i_04,36.875,0.233,,,158.2618026,,
2021eco_Austin_i_05,50.042,0.4411,,,113.4481977,,
2021eco_Austin_i_06,45.612,0.3547,,,128.5931773,,
2021eco_Austin_i_07,19.556,0.1034,,,189.1295938,,
2021eco_Austin_i_08,18.412,0.1032,,,178.4108527,,
2021eco_Austin_i_09,30.823,0.2055,,,149.9902676,,
2021eco_Austin_i_10,19.996,0.1379,,,145.0036258,,
2021eco_Austin_i_11,12.897,0.1138,,,113.3304042,,
2021eco_Austin_i_12,24.979,0.2215,,,112.772009,,
2021eco_Austin_i_13,1.705,0.2025,,,8.419753086,,
2021eco_Austin_i_14,0.707,0.1954,,,3.618219038,,
2021eco_Austin_i_15,NA,0.1373,,,NA,,
2021eco_Bandera_i_01,17.455,0.1568,,,111.3201531,,
2021eco_Bandera_i_02,14.663,0.1427,,,102.7540294,,
2021eco_Bandera_i_03,17.208,0.177,,,97.22033898,,
2021eco_Bandera_i_04,6.747,0.0599,,,112.6377295,,
2021eco_Bandera_i_05,10.954,0.0952,,,115.0630252,,
2021eco_Bandera_i_06,8.699,0.0757,,,114.9141347,,
2021eco_Bandera_i_07,18.936,0.0808,,,234.3564356,,
2021eco_Bandera_i_08,5.456,0.0138,,,395.3623188,,
2021eco_Bandera_i_09,11.98,0.0269,,,445.3531599,,
2021eco_Bandera_i_10,6.682,0.0503,,,132.8429423,,
2021eco_Bandera_i_11,8.549,0.0559,,,152.9338104,,
2021eco_Bandera_i_12,9.147,0.0748,,,122.2860963,,
2021eco_Bandera_i_13,7.672,0.0567,,,135.308642,,
2021eco_Bandera_i_14,5.925,0.0556,,,106.5647482,,
2021eco_Bandera_i_15,8.566,0.0622,,,137.7170418,,
2021eco_Bell_i_01,NA,0.1626,,,NA,,
2021eco_Bell_i_02,NA,NA,,,NA,,
2021eco_Bell_i_03,NA,0.1469,,,NA,,
2021eco_Bell_i_04,16.547,0.0891,,,185.7126824,,
2021eco_Bell_i_05,25.904,0.1909,,,135.6940807,,
2021eco_Bell_i_06,23.776,0.1453,,,163.633861,,
2021eco_Bell_i_07,21.549,0.1853,,,116.2924987,,
2021eco_Bell_i_08,26.269,0.2084,,,126.0508637,,
2021eco_Bell_i_09,42.359,0.3714,,,114.0522348,,
2021eco_Bell_i_10,14.579,0.1127,,,129.3611358,,
2021eco_Bell_i_11,6.366,0.0511,,,124.5792564,,
2021eco_Bell_i_12,19.683,0.1385,,,142.1155235,,
2021eco_Bell_i_13,22.113,0.1126,,,196.3854352,,
2021eco_Bell_i_14,15.989,0.1412,,,113.2365439,,
2021eco_Bell_i_15,13.642,0.11,,,124.0181818,,
2021eco_Brazos16_i_01,23.59,0.1146,,,205.8464223,,
2021eco_Brazos16_i_02,18.557,0.0778,,,238.5218509,,
2021eco_Brazos16_i_03,13.93,0.0693,,,201.010101,,
2021eco_Brazos16_i_04,22.01,0.1396,,,157.6647564,,
2021eco_Brazos16_i_05,24.87,0.1213,,,205.0288541,,
2021eco_Brazos16_i_06,23.25,0.1577,,,147.4318326,,
2021eco_Brazos16_i_07,11.382,0.0868,,,131.1290323,,
2021eco_Brazos16_i_08,10.756,0.0948,,,113.4599156,,
2021eco_Brazos16_i_09,8.543,0.0902,,,94.71175166,,
2021eco_Brazos16_i_10,17.014,0.1391,,,122.3148814,,
2021eco_Brazos16_i_11,13.539,0.1121,,,120.7760928,,
2021eco_Brazos16_i_12,14.687,0.1074,,,136.7504655,,
2021eco_Brazos16_i_13,8.049,0.0458,,,175.7423581,,
2021eco_Brazos16_i_14,NA,0.0522,,,NA,,
2021eco_Brazos16_i_15,NA,0.0685,,,NA,,
2021eco_Brazos18_i_01,19.153,0.2104,,,91.03136882,,
2021eco_Brazos18_i_02,9.919,0.1095,,,90.58447489,,
2021eco_Brazos18_i_03,13.774,0.1423,,,96.79550246,,
2021eco_Brazos18_i_04,16.934,0.164,,,103.2560976,,
2021eco_Brazos18_i_05,16.284,0.1799,,,90.51695386,,
2021eco_Brazos18_i_06,18.381,0.1427,,,128.8086896,,
2021eco_Brazos18_i_07,16.398,0.165,,,99.38181818,,
2021eco_Brazos18_i_08,11.725,0.1685,,,69.58456973,,
2021eco_Brazos18_i_09,15.483,0.1537,,,100.7351984,,
2021eco_Brazos18_i_10,29.118,0.2262,,,128.7267905,,
2021eco_Brazos18_i_11,18.942,0.2287,,,82.82466113,,
2021eco_Brazos18_i_12,29.719,0.3535,,,84.07072136,,
2021eco_Brazos18_i_13,NA,0.1169,,,NA,,
2021eco_Brazos18_i_14,NA,0.122,,,NA,,
2021eco_Brazos18_i_15,NA,0.1275,,,NA,,
2021eco_Burnet12_i_01,14.939,0.1433,,,104.2498255,,
2021eco_Burnet12_i_02,17.404,0.1933,,,90.03621314,,
2021eco_Burnet12_i_03,9.369,0.1209,,,77.49379653,,
2021eco_Burnet12_i_04,15.872,0.0614,,,258.5016287,,
2021eco_Burnet12_i_05,38.653,0.0538,,,718.4572491,,
2021eco_Burnet12_i_06,25.941,0.0935,,,277.4438503,,
2021eco_Burnet12_i_07,18.869,0.1269,,,148.6918834,,
2021eco_Burnet12_i_08,23.773,0.2044,,,116.3062622,,
2021eco_Burnet12_i_09,16.807,0.1508,,,111.4522546,,
2021eco_Burnet12_i_10,20.751,0.2017,,,102.8805156,,
2021eco_Burnet12_i_11,18.054,0.2366,,,76.30600169,,
2021eco_Burnet12_i_12,25.974,0.1368,,,189.8684211,,
2021eco_Burnet12_i_13,20.597,0.1805,,,114.1108033,,
2021eco_Burnet12_i_14,10.893,0.1237,,,88.05982215,,
2021eco_Burnet12_i_15,18.996,0.1726,,,110.0579374,,
2021eco_Burnet14_i_01,21.752,0.2022,,,107.5766568,,
2021eco_Burnet14_i_02,15.817,0.1399,,,113.0593281,,
2021eco_Burnet14_i_03,15.163,0.1996,,,75.96693387,,
2021eco_Burnet14_i_04,37.838,NA,,,NA,,
2021eco_Burnet14_i_05,24.275,0.1643,,,147.7480219,,
2021eco_Burnet14_i_06,38.656,0.3161,,,122.2904144,,
2021eco_Burnet14_i_07,15.635,0.0491,,,318.4317719,,
2021eco_Burnet14_i_08,14.462,0.0661,,,218.7897126,,
2021eco_Burnet14_i_09,17.695,0.0455,,,388.9010989,,
2021eco_Burnet14_i_10,20.176,0.0897,,,224.9275362,,
2021eco_Burnet14_i_11,15.211,0.0728,,,208.9423077,,
2021eco_Burnet14_i_12,13.693,0.1005,,,136.2487562,,
2021eco_Burnet14_i_13,15.875,0.1098,,,144.5810565,,
2021eco_Burnet14_i_14,26.278,0.2212,,,118.7974684,,
2021eco_Burnet14_i_15,11.145,0.0976,,,114.1905738,,
2021eco_Comal_i_01,27.644,0.2,,,138.22,,
2021eco_Comal_i_02,36.245,0.269,,,134.739777,,
2021eco_Comal_i_03,NA,0.1979,,,NA,,
2021eco_Comal_i_04,8.971,0.0715,,,125.4685315,,
2021eco_Comal_i_05,10.683,0.0893,,,119.6304591,,
2021eco_Comal_i_06,5.818,0.0544,,,106.9485294,,
2021eco_Comal_i_07,1.691,0.0472,,,35.82627119,,
2021eco_Comal_i_08,2.822,0.0627,,,45.00797448,,
2021eco_Comal_i_09,2.114,0.0569,,,37.15289982,,
2021eco_Comal_i_10,12.34,0.1009,,,122.2993062,,
2021eco_Comal_i_11,17.668,0.1213,,,145.6553998,,
2021eco_Comal_i_12,15.003,0.1122,,,133.7165775,,
2021eco_Comal_i_13,1.448,0.0458,,,31.61572052,,
2021eco_Comal_i_14,5.631,0.0407,,,138.3538084,,
2021eco_Comal_i_15,NA,0.0314,,,NA,,
2021eco_Fayette09_i_01,19.779,0.2113,,,93.60624704,,
2021eco_Fayette09_i_02,17.775,NA,,,NA,,
2021eco_Fayette09_i_03,23.164,0.2689,,,86.14354779,,
2021eco_Fayette09_i_04,19.372,0.2547,,,76.05810758,,
2021eco_Fayette09_i_05,19.494,0.2313,,,84.28015564,,
2021eco_Fayette09_i_06,25.38,0.2755,,,92.12341198,,
2021eco_Fayette09_i_07,13,0.1431,,,90.84556254,,
2021eco_Fayette09_i_08,12.437,0.0985,,,126.2639594,,
2021eco_Fayette09_i_09,13.578,0.1189,,,114.196804,,
2021eco_Fayette09_i_10,8.121,0.142,,,57.19014085,,
2021eco_Fayette09_i_11,13.856,0.1803,,,76.84969495,,
2021eco_Fayette09_i_12,9.465,0.1134,,,83.46560847,,
2021eco_Fayette09_i_13,31.81,0.2189,,,145.3174966,,
2021eco_Fayette09_i_14,26.805,0.188,,,142.5797872,,
2021eco_Fayette09_i_15,32.319,0.2447,,,132.0760114,,
2021eco_Fayette12_i_01,24.65,0.326,,,75.61349693,,
2021eco_Fayette12_i_02,21.882,0.2524,,,86.69572108,,
2021eco_Fayette12_i_03,21.544,0.2529,,,85.18782127,,
2021eco_Fayette12_i_04,11.074,0.098,,,113,,
2021eco_Fayette12_i_05,15.42,0.1661,,,92.83564118,,
2021eco_Fayette12_i_06,9.056,0.0784,,,115.5102041,,
2021eco_Fayette12_i_07,41.244,0.5137,,,80.2881059,,
2021eco_Fayette12_i_08,23.055,0.3036,,,75.93873518,,
2021eco_Fayette12_i_09,30.14,0.4456,,,67.63913824,,
2021eco_Fayette12_i_10,NA,NA,,,NA,,
2021eco_Fayette12_i_11,NA,NA,,,NA,,
2021eco_Fayette12_i_12,17.516,0.1365,,,128.3223443,,
2021eco_Fayette12_i_13,NA,NA,,,NA,,
2021eco_Fayette12_i_14,NA,NA,,,NA,,
2021eco_Fayette12_i_15,NA,NA,,,NA,,
2021eco_Harris_i_01,14.271,0.0876,,,162.9109589,,
2021eco_Harris_i_02,5.537,0.0351,,,157.7492877,,
2021eco_Harris_i_03,12.146,0.0746,,,162.8150134,,
2021eco_Harris_i_04,59.788,0.2735,,,218.6032907,,
2021eco_Harris_i_05,32.753,0.1426,,,229.684432,,
2021eco_Harris_i_06,NA,0.3191,,,NA,,
2021eco_Harris_i_07,18.55,0.1159,,,160.0517688,,
2021eco_Harris_i_08,17.227,0.1321,,,130.4087812,,
2021eco_Harris_i_09,13.389,0.1253,,,106.8555467,,
2021eco_Harris_i_10,2.487,0.1717,,,14.4845661,,
2021eco_Harris_i_11,NA,0.1177,,,NA,,
2021eco_Harris_i_12,NA,0.1191,,,NA,,
2021eco_Harris_i_13,42.04,0.2868,,,146.5829847,,
2021eco_Harris_i_14,43.236,0.3679,,,117.5210655,,
2021eco_Harris_i_15,NA,NA,,,NA,,
2021eco_Hays_i_01,30.783,0.29,,,106.1482759,,
2021eco_Hays_i_02,18.067,0.1727,,,104.6149392,,
2021eco_Hays_i_03,14.623,0.1434,,,101.9735007,,
2021eco_Hays_i_04,NA,0.0874,,,NA,,
2021eco_Hays_i_05,NA,0.1317,,,NA,,
2021eco_Hays_i_06,NA,NA,,,NA,,
2021eco_Hays_i_07,43.276,0.4816,,,89.85880399,,
2021eco_Hays_i_08,32.094,0.5491,,,58.44837006,,
2021eco_Hays_i_09,25.834,0.5796,,,44.5721187,,
2021eco_Hays_i_10,13.586,0.1829,,,74.28102788,,
2021eco_Hays_i_11,14.257,0.1505,,,94.73089701,,
2021eco_Hays_i_12,11.763,NA,,,NA,,
2021eco_Hays_i_13,32.112,0.16,,,200.7,,
2021eco_Hays_i_14,27.675,0.1326,,,208.7104072,,
2021eco_Hays_i_15,24.258,0.1184,,,204.8817568,,
2021eco_Kerr_i_01,19.652,0.1608,,,122.2139303,,
2021eco_Kerr_i_02,12.098,0.0873,,,138.5796105,,
2021eco_Kerr_i_03,36.018,0.3507,,,102.7031651,,
2021eco_Kerr_i_04,NA,NA,,,NA,,
2021eco_Kerr_i_05,NA,NA,,,NA,,
2021eco_Kerr_i_06,NA,0.1415,,,NA,,
2021eco_Kerr_i_07,58.516,0.4769,,,122.7007758,,
2021eco_Kerr_i_08,74.986,0.5235,,,143.2397326,,
2021eco_Kerr_i_09,32.016,0.1557,,,205.6262042,,
2021eco_Kerr_i_10,7.809,0.0698,,,111.8767908,,
2021eco_Kerr_i_11,10.066,0.0793,,,126.9356873,,
2021eco_Kerr_i_12,12.81,0.0934,,,137.1520343,,
2021eco_Kerr_i_13,20.942,0.1426,,,146.858345,,
2021eco_Kerr_i_14,43.392,0.2951,,,147.0416808,,
2021eco_Kerr_i_15,26.991,0.1665,,,162.1081081,,
2021eco_Uvalde_i_01,21.834,0.2175,,,100.3862069,,
2021eco_Uvalde_i_02,17.337,0.1753,,,98.89903023,,
2021eco_Uvalde_i_03,22.299,0.2159,,,103.2839277,,
2021eco_Uvalde_i_04,16.903,0.1356,,,124.6533923,,
2021eco_Uvalde_i_05,13.603,0.1192,,,114.1191275,,
2021eco_Uvalde_i_06,12.985,0.0955,,,135.9685864,,
2021eco_Uvalde_i_07,12.948,0.1615,,,80.17337461,,
2021eco_Uvalde_i_08,18.634,0.3301,,,56.44956074,,
2021eco_Uvalde_i_09,24.326,0.2122,,,114.6371348,,
2021eco_Uvalde_i_10,15.128,0.1159,,,130.5263158,,
2021eco_Uvalde_i_11,8.744,0.0839,,,104.2193087,,
2021eco_Uvalde_i_12,5.309,0.0526,,,100.9315589,,
2021eco_Uvalde_i_13,16.443,0.2272,,,72.37235915,,
2021eco_Uvalde_i_14,14.046,0.1501,,,93.57761492,,
2021eco_Uvalde_i_15,22.785,0.1675,,,136.0298507,,
2021eco_Uvalde_i_16,9.676,0.0906,,,106.799117,,
2021eco_Uvalde_i_17,12.867,0.1083,,,118.8088643,,
2021eco_Uvalde_i_18,10.307,0.0934,,,110.3533191,,
2021eco_Washington_i_01,56.399,0.3,,,187.9966667,,
2021eco_Washington_i_02,38.622,0.27,,,143.0444444,,
2021eco_Washington_i_03,43.711,0.1951,,,224.04408,,
2021eco_Washington_i_04,30.58,0.2403,,,127.2575947,,
2021eco_Washington_i_05,50.151,0.4594,,,109.1663039,,
2021eco_Washington_i_06,36.772,0.3075,,,119.5837398,,
2021eco_Washington_i_07,32.613,0.2137,,,152.6111371,,
2021eco_Washington_i_08,26.791,0.1861,,,143.9602364,,
2021eco_Washington_i_09,22.291,0.1503,,,148.3100466,,
2021eco_Washington_i_10,21.803,0.3205,,,68.02808112,,
2021eco_Washington_i_11,33.561,0.4103,,,81.79624665,,
2021eco_Washington_i_12,16.465,0.2368,,,69.53125,,
2021eco_Washington_i_13,37.618,0.268,,,140.3656716,,
2021eco_Washington_i_14,35.326,0.1602,,,220.5118602,,
2021eco_Washington_i_15,31.995,0.2448,,,130.6985294,,
2021eco_Bandera_p_1a,11.122,0.1081,,,102.8862165,,
2021eco_Bandera_p_2a,12.745,0.1426,,,89.37587658,,
2021eco_Bandera_p_2b,8.861,0.1206,,,73.47429519,,
2021eco_Bandera_p_2c,37.893,0.1896,,,199.8575949,,
2021eco_Bandera_p_2d,0.769,0.0526,,,14.61977186,,
2021eco_Bandera_p_3a,11.994,0.103,,,116.4466019,,
2021eco_Bandera_p_3b,14.306,0.0877,,,163.1242873,,
2021eco_Bandera_p_4a,14.46,0.1249,,,115.7726181,,
2021eco_Bandera_p_4b,23.314,0.3167,,,73.6154089,,
2021eco_Bandera_p_5a,11.844,0.1125,,,105.28,,
2021eco_Bandera_p_5b,4.167,0.0736,,,56.61684783,,
2021eco_Bandera_p_SOTP,42.322,0.2723,,,155.4241645,,
2021eco_Bell_p_1a,20.408,0.2202,,,92.67938238,,
2021eco_Bell_p_1b,15.13,0.2715,,,55.72744015,,
2021eco_Bell_p_1c,10.513,0.1009,,,104.1922696,,
2021eco_Bell_p_2a,7.838,0.0703,,,111.4935989,,
2021eco_Bell_p_2b,24.215,0.2664,,,90.89714715,,
2021eco_Bell_p_2c,15.725,0.1881,,,83.59914939,,
2021eco_Bell_p_2d,14.699,0.08,,,183.7375,,
2021eco_Bell_p_2e,8.417,0.1,,,84.17,,
2021eco_Bell_p_3a,10.775,0.1532,,,70.33289817,,
2021eco_Bell_p_3b,12.729,0.0773,,,164.6701164,,
2021eco_Bell_p_3c,17.552,0.1718,,,102.1653085,,
2021eco_Bell_p_3d,10.996,0.1365,,,80.55677656,,
2021eco_Bell_p_4a,21.046,0.1455,,,144.6460481,,
2021eco_Bell_p_4b,17.637,0.3183,,,55.40999057,,
2021eco_Bell_p_4c,11.355,0.0889,,,127.727784,,
2021eco_Bell_p_4d,10.556,0.095,,,111.1157895,,
2021eco_Bell_p_4e,10.85,0.3747,,,28.95649853,,
2021eco_Bell_p_5b,28.025,0.2103,,,133.2620067,,
2021eco_Bell_p_5c,11.613,0.4169,,,27.85560086,,
2021eco_Bell_p_snight1,20.578,0.2275,,,90.45274725,,
2021eco_Bell_p_snight2,33.967,0.4599,,,73.8573603,,
2021eco_Bell_p_snight3,25.676,0.2987,,,85.95915634,,
2021eco_Burnet12_p_1a,18.15,0.253,,,71.73913043,,
2021eco_Burnet12_p_2a,13.083,0.2784,,,46.99353448,,
2021eco_Burnet12_p_2b,6.246,0.0861,,,72.54355401,,
2021eco_Burnet12_p_3a,17.602,0.2974,,,59.1862811,,
2021eco_Burnet12_p_4a,16.289,0.2958,,,55.06761325,,
2021eco_Burnet12_p_4b,13.093,0.1562,,,83.82202305,,
2021eco_Burnet12_p_5a,18.8,0.3235,,,58.11437403,,
2021eco_Burnet12_p_5b,NA,0.3884,,,NA,,
2021eco_Burnet12_p_5c,6.924,0.0864,,,80.13888889,,
2021eco_Burnet12_p_john1,24.828,0.1771,,,140.1919819,,
2021eco_Burnet12_p_john2,43.659,0.2558,,,170.6763096,,
2021eco_Burnet12_p_john3,45.787,0.2936,,,155.9502725,,
2021eco_Burnet12_p_snight1,13.95,0.1798,,,77.5862069,,
2021eco_Burnet12_p_snight2,11.416,0.1583,,,72.116235,,
2021eco_Harris_p_1a,14.283,0.123,,,116.1219512,,
2021eco_Harris_p_2a,12.713,0.1291,,,98.47405112,,
2021eco_Harris_p_2b,5.78,0.0601,,,96.17304493,,
2021eco_Harris_p_2c,NA,0.1499,,,NA,,
2021eco_Harris_p_3a,22.447,0.1778,,,126.2485939,,
2021eco_Harris_p_3b,6.596,0.0689,,,95.7329463,,
2021eco_Harris_p_3c,12.611,0.1872,,,67.36645299,,
2021eco_Harris_p_4a,19.577,0.1833,,,106.8030551,,
2021eco_Harris_p_4b,11.689,0.1474,,,79.30122117,,
2021eco_Harris_p_5a,12.469,0.1547,,,80.60116354,,
2021eco_Harris_p_5b,NA,0.0499,,,NA,,
2021eco_Harris_p_5c,13.158,0.08,,,164.475,,
2021eco_Harris_p_5d,21.34,0.1365,,,156.3369963,,
2021eco_Menard_p_1a,1.781,NA,,,NA,,
2021eco_Menard_p_1b,17.638,NA,,,NA,,
2021eco_Menard_p_2c,1.548,NA,,,NA,,
2021eco_Menard_p_3a,6.043,NA,,,NA,,
2021eco_Menard_p_mesquite1,32.089,NA,,,NA,,
2021eco_Menard_p_mesquite2,43.486,NA,,,NA,,
2021eco_Uvalde_p_1a,9.552,0.0896,,,106.6071429,,
2021eco_Uvalde_p_1b,23.942,0.255,,,93.89019608,,
2021eco_Uvalde_p_1c,10.617,0.083,,,127.9156627,,
2021eco_Uvalde_p_2a,8.023,0.1043,,,76.92233941,,
2021eco_Uvalde_p_2b,8.901,0.0904,,,98.46238938,,
2021eco_Uvalde_p_2c,28.833,0.312,,,92.41346154,,
2021eco_Uvalde_p_3a,11.126,0.1169,,,95.17536356,,
2021eco_Uvalde_p_3b,10.371,0.1668,,,62.17625899,,
2021eco_Uvalde_p_3c,27.434,0.3873,,,70.83397883,,
2021eco_Uvalde_p_4a,14.506,0.1437,,,100.9464161,,
2021eco_Uvalde_p_4b,16.267,0.1179,,,137.9728584,,
2021eco_Uvalde_p_4c,15.088,0.1277,,,118.1519186,,
2021eco_Uvalde_p_5a,15.048,0.1085,,,138.6912442,,
2021eco_Uvalde_p_5b,7.655,0.0658,,,116.337386,,
2021eco_Uvalde_p_5c,30.21,0.2606,,,115.9247889,,