site,soil.pH,soil.cec,soil.no3n,soil.phos,soil.potassium,soil.calcium,soil.magnesium,soil.sulfur,soil.sodium
2021eco_Austin_i,5.6,73,1,18,55,354,89,9,13
2021eco_Bandera_i,6.3,184,9,4,362,6895,360,9,33
2021eco_Bandera_p,6.6,127,5,14,417,5156,343,9,18
2020eco_Bell_i,7.4,148,9,8,330,18841,132,15,12
2021eco_Bell_i,7.5,483,78,8,556,20235,192,14,10
2021eco_Bell_p,7.2,248,7,7,616,16503,305,11,12
2020eco_Bexar_i,7.6,112,2,11,453,6918,134,10,8
2020eco_Bexar_p,7.1,131,3,11,495,6575,149,10,8
2020eco_Blanco_i,7.6,119,6,6,218,23762,111,14,10
2021eco_Brazos16_i,5.4,138,54,34,151,435,64,7,11
2020eco_Brazos18_i,5.2,125,2,19,221,2952,412,9,142
2021eco_Brazos18_i,5.1,139,9,29,199,2598,499,11,173
2021eco_Burnet12_i,8,157,48,9,169,11732,406,13,8
2021eco_Burnet12_p,7.8,143,25,18,278,6845,460,13,9
2021eco_Burnet14_i,7.4,271,75,34,261,5382,145,14,12
2021eco_Comal_i,7.6,218,75,7,345,23470,126,17,10
2020eco_Comal_i,7.7,127,13,5,199,24641,103,14,10
2020eco_Edwards_i,7.5,120,0,19,229,27351,166,21,18
2020eco_Fayette_i,7.6,110,3,10,65,8750,99,6,20
2021eco_Fayette09_i,6,149,22,13,78,1390,83,11,13
2021eco_Fayette12_i,5.9,254,73,28,105,1807,244,10,32
2020eco_Harris_i,7.8,129,5,5,183,6423,376,7,31
2020eco_Harris_p,7.3,169,1,3,212,7015,558,14,43
2021eco_Harris_i,7.7,154,5,5,212,7252,430,21,27
2021eco_Harris_p,7.7,117,1,2,198,7893,659,9,56
2021eco_Hays_i,7.7,236,59,11,455,25397,194,25,11
2021eco_Kerr_i,7.6,191,29,15,480,19304,392,17,11
2020eco_Menard_i,7.5,141,2,10,670,15438,188,12,8
2020eco_Menard_p,7.6,115,6,8,569,16777,180,10,7
2021eco_Menard_i,7.7,140,12,9,584,11198,143,11,10
2020eco_Russel_i,5.4,78,5,4,48,613,78,4,9
2020eco_Sansaba_i,6.6,152,0,7,299,2562,272,7,7
2020eco_Uvalde_i,7.5,148,3,11,293,21645,384,22,13
2020eco_Uvalde_p,7.6,126,2,7,233,25524,321,19,9
2021eco_Uvalde_i,7.7,161,9,10,338,18326,348,19,12
2021eco_Uvalde_p,7.8,144,5,11,385,21257,336,19,11
2021eco_Washington_i,7.6,289,43,13,438,15089,93,13,9
2020eco_Williamson09_i,7.7,116,0,7,278,19811,187,14,9
2020eco_Williamson10_i,7.4,123,3,2,279,13026,392,6,13
2020eco_Williamson10_p,7.3,107,2,2,283,13966,5,5,19